"ID","Nom","Synonymes_existants","Code","Bdd","Comment_les_eviter_?","Qu'est-ce_que_j'en_fais_?","Que_va-t-il_devenir_?","nom_eco_organisme","filieres_REP"
"315","Seringue sans aiguille (non-contaminée)",,"ADEME_DAS","ademe",,"Sans aiguille, votre seringue ne présente pas de risque perforant. N'étant pas contaminée, elle ne présente pas non plus de risque infectieux. Jetez-la vide dans la poubelle des ordures ménagères.","La seringue suit l'une des filières d'élimination des ordures ménagères : elle est incinérée (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouie en installation de stockage de déchets.",,
"180","Gros électroménager","Congélateur / Freezer / Lave-vaisselle / Sèche-linge / Hotte / Plaque de cuisson","GELECHORSFROID","ocad3e","Prolongez la vie de votre appareil en l’entretenant régulièrement. Assurez-vous dès l'achat qu'il bénéficie d'une bonne garantie réparation. Privilégiez un appareil démontable, donc plus facile à réparer, pour faire face à une éventuelle panne après expiration de la garantie. Depuis le 1er janvier 2021 un indicateur simple vous permet de savoir si le produit que vous voulez acheter est facilement réparable, grâce à une note sur 10. Il porte sur les produits suivants : lave-linge, lave-vaisselle, téléviseurs, aspirateurs, smartphones, ordinateurs portables, nettoyeurs haute pression et tondeuses à gazon. Un produit avec une note proche de 0 sera non réparable alors qu’un produit dont la note se rapproche de 10 sera très réparable.","S'il est encore en bon état, donnez-le à une association caritative ou un proche, ou bien revendez-le.<br /><br />S’il est en panne, privilégiez la réparation. Certains réparateurs peuvent même vous faire bénéficier d'une réduction via le Bonus Réparation.<br /><br />S’il est hors-service, dans le cadre de l'achat d'un produit neuf, rapportez l'ancien matériel à votre revendeur ou remettez-le au livreur.<br /><br />Sinon, apportez-le en déchèterie.","Remis à une structure de réemploi, revendu ou réparé, votre appareil poursuit une seconde vie en tant que matériel d'occasion. <br /><br />Déposé en magasin, en déchèterie ou remis à un livreur, le matériel suit la filière des Déchets d'Équipements Électriques et Électroniques (DEEE). Il est acheminé jusqu'à un centre de traitement où il est démantelé, dépollué si nécessaire, et ses différents composants sont triés (métaux, plastiques, cartes électroniques). Les matériaux sont ensuite recyclés quand c’est possible (réutilisation dans de nouveaux produits). Ceux qui ne sont pas recyclables sont incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis dans des installations de stockage de déchets (déchets ultimes ou substances polluantes ou réglementées).","Ecologic / Ecosystem","Equipements électriques et électroniques"
"441","Instrument de musique","violon / flûte / guitare acoustique / piano / saxophone / instrument à cuivre / instrument à vent",,,"Conservez votre instrument à l'abri des variations de chaleur. S'il est transportable, utilisez un étui de protection pour le protéger des chocs.<br /><br /> Consultez le vendeur pour connaître les éventuelles consignes d'entretien.","Si l'instrument est encore en bon état, donnez-le à une association ou revendez-le.<br /><br />S'il est cassé, apportez-le chez un artisan (luthier, accordeur, etc).<br /><br />En dernier ressort, apportez-le en déchèterie.","S'il n'est pas trop abimé, l'instrument, remis à une association, pourra bénéficier d'une deuxième vie.<br /><br />S'il n'est plus utilisable et déposé en déchetterie, l'instrument sera valorisé en énergie.",,
"193","Jeu vidéo (cassette ou cartouche DS, PS3, Xbox...)","jeu de PS2 / jeu de PS4","DEEE",,,"S'il est encore en bon état, remettez-le à une une association caritative ou revendez-le. Sinon jetez-le dans la poubelle des ordures ménagères (ou, si vous disposez d'une grandes quantités, apportez vos jeux déchèterie ).","Remis à une structure de réemploi ou revendus vos jeux poursuivent une seconde vie. Déposés en déchèterie ou jetés à la poubelle, ils suivent l'une des filières d'élimination des ordures ménagères : ils sont incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis en installation de stockage de déchets.",,
"197","Laine de verre",,"ADEME_BTP","sinoe",,"Faites enlever ces déchets par l'entrepreneur qui réalise vos travaux de rénovation. Il les évacuera vers des plateformes dédiées (en contrepartie d'une rémunération fixée lors du devis initial ou en fonction de la quantité évacuée).<br /><br />Déposez-les en déchèterie si vous réalisez des travaux vous-même et que la quantité de déchets à éliminer est limitée. Si la quantité est trop importante, faîtes appel à une entreprise spécialisée.","La laine de verre déposée en plate-forme de tri ou en déchèterie sera éliminée en installation de stockage de déchets non-dangereux.",,"Bâtiment"
"440","Laine de roche",,"ADEME_BTP","sinoe",,"Faites enlever ces déchets par l'entrepreneur qui réalise vos travaux de rénovation. Il les évacuera vers des plateformes dédiées (en contrepartie d'une rémunération fixée lors du devis initial ou en fonction de la quantité évacuée).<br /><br />Déposez-les en déchèterie si vous réalisez des travaux vous-même et que la quantité de déchets à éliminer est limitée. Si la quantité est trop importante, faîtes appel à une entreprise spécialisée.","La laine de roche déposée en plate-forme de tri ou en déchèterie sera éliminée en installation de stockage de déchets non-dangereux.",,"Bâtiment"
"357","Véhicule hors d'usage","VHU / Voiture / Véhicule (automobile) / Automobile","ADEME_AUTOMOBILE","ademe","Retardez votre changement de véhicule en l'entretenant régulièrement conformément aux consignes du fabricant (vidange d'huile, révision...) et aux obligations réglementaires (contrôle technique, notamment).","Confiez votre véhicule à un professionnel agréé pour traiter les véhicules hors d'usage (centre VHU), contre la remise d'un certificat de destruction (envoyé en copie à la préfecture). Selon la marque de votre véhicule, vous trouverez ci-dessous un ou plusieurs établissements qui pourront le reprendre. Dans certains cas, un enlèvement à domicile peut vous être proposé (voir détails sur les différents sites internet ci-dessous).","Votre véhicule est tout d'abord débarrassé des produits dangereux qu'il contient (huiles usagées, liquide de refroidissement, carburant...). Ceux-ci sont envoyés vers leurs installations de traitement respectives. Les pièces en bon état de fonctionnement sont récupérées, triées et vérifiées avant d'être réutilisées (moteurs, portières, phares...). Votre véhicule est ensuite broyé afin de séparer les différentes matières qui le composent et les matières recyclables sont envoyées dans leur filières de valorisation respectives.","Recycler Mon Véhicule","Véhicules"
"223","Mégot de cigarette",,"ADEME_PRODUIT","ademe","Nous vous encourageons à télécharger l'appli Tabac Info Service sur votre smartphone ou à visiter leur site <a href=""https://www.tabac-info-service.fr/"" target=""_blank"">tabac-info-service.fr</a>.<br /><br /> Vous pouvez aussi appeler le 3989 (service gratuit + prix de l'appel).","Jetez vos mégots dans la poubelle des ordures ménagères ou dans les poubelles présentes sur la voie publique. Quand ils sont mis en place, nous vous invitons à utiliser les cendriers disponibles sur la voie publique (dans la rue, aux abords de gares et de certains commerces, dans certains parcs...)<br /><br />
À défaut, soyez prévoyant, et emportez avec vous un cendrier de poche.
<br /><br />
Dans tous les cas, assurez-vous de bien écraser et éteindre votre mégot avant de le jeter, pour éviter tout risque d'incendie.","Jeté à la poubelle, un mégot suit l'une des filières d'élimination des ordures ménagères : il est incinéré (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfoui en installation de stockage de déchets. <br />
Certains cendriers collectifs sont collectés par des entreprises spécialisées dans le traitement et la dépollution des mégots. Elles produisent alors du mobilier urbain ou de l'isolant qui peut être utilisé dans la construction, par exemple.","Alcome","Tabac"
"86","Carton de petite taille","Etuis en carton / Calage en carton / Cale en carton / Paquet de cigarettes vide","ADEME_CARTON","ademe",,"Déposez vos cartons de petite taille dans le bac, le sac ou le conteneur réservé au tri des emballages.","Le carton est séparé des autres matières recyclables dans les centres de tri et conditionné en balles. Celles-ci sont envoyées vers les centres de recyclage où les fibres de carton sont dispersées dans l'eau et débarrassées de leurs impuretés. Les fibres sont ensuite essorées, séchées et pressées en feuilles de papier, elles-mêmes enroulées sur des bobines. Ces dernières serviront à fabriquer de nouveaux produits en papier et carton.","Citeo / Léko","Emballages ménagers"
"195","Journal",,"ADEME_PAPIER","ademe",,"Déposez-le dans le bac, le sac ou le conteneur de collecte séparée, conformément aux consignes de tri de votre commune. Il est inutile de le froisser ou de le déchirer avant de le jeter.","Le recyclage du papier se fait en 3 étapes : le pulpage et le défibrage, l'épuration et un éventuel désencrage (pour la fabrication de la pâte blanche). Après toutes ces étapes, les fibres peuvent rejoindre le procédé habituel de fabrication du papier. Elles sont déposées sur une toile en mouvement où elles s'égouttent pour former une feuille qui sera pressée et séchée sur des cylindres chauffés à la vapeur, pour ainsi fabriquer une nouvelle feuille de papier ou de carton.","Citeo / Léko","Papiers"
